sector,PBA_kt
Sand and clay,122575.24183011617
Iron ores,44252.62946019384
"Products of forestry, logging and related services (02)",42530.26182192813
Copper ores and concentrates,26748.719274176932
Precious metal ores and concentrates,10459.636192317863
Cattle,7216.828360445921
Stone,6074.014678031441
"Lead, zinc and tin ores and concentrates",3769.9246555565906
Wheat,3098.3524587704223
"Sugar cane, sugar beet",2130.4241966067125
