,PBA,CBA,Net
biomass,64371.56267238482,56723.59529018415,7647.967382200666
fossil,200.942608696,23881.0008728549,-23680.0582641589
metals,85279.54139408743,33525.46155129765,51754.079842789775
minerals,128672.71559708989,160749.61154417243,-32076.895947082536
