sector,PBA_Sweden_kt
Sand and clay,122575.24183037992
Iron ores,44252.62946020006
"Products of forestry, logging and related services (02)",42530.26182196989
Copper ores and concentrates,26748.71927419995
Precious metal ores and concentrates,10459.636192320002
