,PBA,CBA,Net
biomass,64371.56267232602,56723.595290155485,7647.967382170536
fossil,200.9426086967982,23881.0008728491,-23680.058264152303
metals,85279.54139405965,33525.46155128619,51754.079842773455
minerals,128672.71559682963,160749.6115439683,-32076.895947138662
