indicator,source_region,source_sector,reconstructed_total,model_total,min_contribution,max_contribution,negative_contribution_count,reference_total,share_sum,abs_difference,relative_difference,passes_model_total_check,difference_to_reference,relative_difference_to_reference,passes_reference_check,share_sum_difference_from_1,passes_share_sum_check
economic_importance,SE,Computer and related services (72),38792.1723868153,38792.172386815306,2.9629489877837574,26146.77428944621,0,38792.17238681001,0.9999999999999998,-7.275957614183426e-12,-1.8756252012986983e-16,True,5.289621185511351e-09,1.3635795213443397e-13,True,-2.220446049250313e-16,True
economic_importance,SE,Construction work (45),36702.37908754765,36702.37908754765,0.22368966480915828,34840.958626907304,0,36702.379087574,1.0,0.0,0.0,True,-2.635351847857237e-08,-7.180329758921444e-13,True,0.0,True
economic_importance,SE,Health and social work services (85),41549.748051362636,41549.748051362636,0.061460037715028504,40766.78747518956,0,41549.74805136299,1.0,0.0,0.0,True,-3.5652192309498787e-10,-8.580603729636636e-15,True,0.0,True
economic_importance,SE,Other business services (74),43512.65576883714,43512.65576883714,9.27885923136197,16689.433252155042,0,43512.65576886488,1.0,0.0,0.0,True,-2.7743226382881403e-08,-6.375898205398172e-13,True,0.0,True
economic_importance,SE,Other land transportation services,41714.192326808814,41714.19232680882,2.683767037168119,22293.0212784405,0,41714.192326816905,0.9999999999999999,-7.275957614183426e-12,-1.7442403192611555e-16,True,-8.09086486697197e-09,-1.939595235018029e-13,True,-1.1102230246251565e-16,True
ghg,SE,Cattle,2389100099.872056,2389100099.872056,55834.5843952808,1986241842.2404776,0,2389100099.8743997,1.0,0.0,0.0,True,-0.0023436546325683594,-9.809779978208407e-13,True,0.0,True
ghg,SE,"Cement, lime and plaster",1255051206.6717525,1255051206.6717525,22011.011744139087,1089079532.7100484,0,1255051206.6722,1.0,0.0,0.0,True,-0.0004475116729736328,-3.565684576012013e-13,True,0.0,True
ghg,SE,Food waste for treatment: landfill,5943704119.350412,5943704119.350411,1243865.545100318,1891666797.8990977,0,5943704119.3598,1.0,9.5367431640625e-07,1.6045117611111456e-16,True,-0.009387969970703125,-1.5794813776353169e-12,True,0.0,True
ghg,SE,Paper for treatment: landfill,6240570826.703952,6240570826.703951,1228287.3283867678,2116726062.9977443,0,6240570826.703172,1.0000000000000002,9.5367431640625e-07,1.5281844287791653e-16,True,0.0007801055908203125,1.250054862741513e-13,True,2.220446049250313e-16,True
ghg,SE,Raw milk,3909932197.015846,3909932197.0158463,107313.95341575831,2946496976.7949905,0,3909932197.0295,1.0,-4.76837158203125e-07,-1.219553522097029e-16,True,-0.013654232025146484,-3.4921915105126476e-12,True,0.0,True
materials,SE,Copper ores and concentrates,26748.71927417693,26748.719274176925,1.5033348361328098,8122.569785474569,0,26748.7192742,1.0000000000000002,3.637978807091713e-12,1.3600571936929328e-16,True,-2.3072061594575644e-08,-8.625482722393138e-13,True,2.220446049250313e-16,True
materials,SE,Iron ores,44252.62946019384,44252.62946019384,4.178674591078085,14329.760975007908,0,44252.6294602,1.0,0.0,0.0,True,-6.155460141599178e-09,-1.390981782706333e-13,True,0.0,True
materials,SE,Precious metal ores and concentrates,10459.636192317865,10459.636192317865,0.02472134002907041,10044.062609403489,0,10459.636192319998,1.0,0.0,0.0,True,-2.1336745703592896e-09,-2.039912795366576e-13,True,0.0,True
materials,SE,"Products of forestry, logging and related services (02)",42530.261821928136,42530.26182192813,3.2308427302145133,9203.799942858006,0,42530.26182197001,1.0,7.275957614183426e-12,1.7107718839464146e-16,True,-4.1873136069625616e-08,-9.845492192101922e-13,True,0.0,True
materials,SE,Sand and clay,122575.24183011617,122575.24183011617,5.358190170253797,87531.61550698383,0,122575.24183038001,1.0,0.0,0.0,True,-2.638407750055194e-07,-2.1524801506867354e-12,True,0.0,True
