target_region,target_sector,source_country,source_value,source_share,model_total,residual_to_model_total,indicator,target_sector_value,unit
SE,Public administration and defence services; compulsory social security services (75),NO,402.14455368015945,0.01270863493897257,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),GB,356.5426327941266,0.01126751591907549,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),TW,343.05200156927395,0.010841182885931106,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),DK,302.0772478195765,0.00954629232393344,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),CN,297.2119409773084,0.009392538137886083,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),CH,231.06845320844164,0.007302261315901617,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Public administration and defence services; compulsory social security services (75),OTHER,2685.73019335993,0.08487486467150812,31643.410611074713,0.0,economic_importance,31643.410611074683,M.EUR
SE,Construction work (45),SE,75944.00245399598,0.7742098451941666,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),PL,2890.484663377313,0.02946699688530457,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),CN,2887.902538566628,0.029440673457708514,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),NO,2188.2963778829594,0.022308550316214957,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),FI,1245.9186982259478,0.012701497041354233,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),DE,1135.7453189416772,0.011578336394509694,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),WA,1028.5946852164043,0.010485991076008044,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),US,701.6232153833399,0.007152685971425081,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),GR,677.0660923293883,0.00690233879687985,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),BR,632.293528553846,0.006445905654702411,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Construction work (45),OTHER,8760.344084120778,0.08930717921172603,98092.27165659427,0.0,materials,98092.27165659427,kt
SE,Precious metal ores and concentrates,SE,20505.234348699796,0.8876512032659493,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,CN,537.0766026197434,0.023249512024798313,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,FI,331.33277257073485,0.014343066226526925,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,IN,130.08915836801577,0.005631430296944928,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,PL,117.04822389132742,0.005066901212171077,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,GR,112.65242419180984,0.004876611414637489,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,WA,108.2821305708364,0.004687425749879234,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,NO,107.42797706357194,0.004650450293973498,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,US,106.94179309053547,0.004629403873272541,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,DE,95.7903649505287,0.004146669638770196,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Precious metal ores and concentrates,OTHER,948.6779724617118,0.041067326003076644,23100.55376847861,0.0,materials,23100.55376847858,kt
SE,Food products nec,SE,4257.714781197922,0.3360382910671336,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,DK,1308.7879050312665,0.10329551733202307,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,PL,717.5048602225047,0.05662875966381576,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,WA,649.34623903952,0.05124937007084302,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,NO,644.3476364706319,0.05085485753271092,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,CN,552.515420210126,0.043607039723645394,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,DE,540.3478067614492,0.04264671611349779,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,WL,309.0058349941781,0.02438815140454316,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,NL,286.63824287295137,0.022622798904912134,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,WF,248.5125807014112,0.019613747566268307,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Food products nec,OTHER,3155.6049451313047,0.2490547506206067,12670.326252633267,0.0,materials,12670.326252633284,kt
SE,Products of meat cattle,SE,4567.367218727449,0.6212183160465734,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,PL,611.7187913698942,0.08320130597572768,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,BR,569.6609266468596,0.0774809172597449,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,IE,196.9746079862339,0.026790977912924428,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,WL,192.7960996122045,0.026222649199380724,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,DE,171.8712854702304,0.023376616204362117,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,WA,146.71465401922896,0.01995500382265624,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,FR,98.44786850883398,0.01339012524385371,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,DK,90.94161159887236,0.012369181655543219,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,NL,73.80202190159923,0.010037985905437587,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,Products of meat cattle,OTHER,631.9788261612603,0.08595692077379598,7352.273912002666,0.0,materials,7352.273912002672,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",CN,1219.9150889833247,0.17463648873603352,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",PL,830.7975496586394,0.11893251278972289,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",DE,438.9286926940964,0.06283467299472206,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",WA,413.50357448234786,0.059194949697341785,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",IN,410.877002660334,0.05881894378959309,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",NO,269.30134167249,0.038551732941332094,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",TR,259.0663222864837,0.03708654256549454,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",ZA,248.79401080819636,0.03561601365412088,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",AU,240.90264751399067,0.03448632849038623,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",CZ,229.00657326602564,0.032783350426446436,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",SE,62.14401112638904,0.008896202692377656,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,"Motor vehicles, trailers and semi-trailers (34)",OTHER,2362.2167851388003,0.3381622612224287,6985.453600291119,0.0,materials,6985.45360029112,kt
SE,Hotel and restaurant services (55),CH,116466135334.5459,0.9889891591300507,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),WA,241006038.38295844,0.0020465378932765814,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),US,143929828.95213127,0.0012222011153733053,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),CN,113682910.02255711,0.0009653549958338569,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),WF,108899279.37297317,0.0009247340991231417,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),TR,103142209.95942678,0.0008758471053029927,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),IN,66329627.59983859,0.0005632476980277706,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),WL,52286396.5722135,0.000443997555438379,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),BR,43326635.452600285,0.000367914438313911,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),WM,43175816.22550292,0.00036663373487029444,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),SE,3245491.1267099124,2.7559560821254513e-05,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Hotel and restaurant services (55),OTHER,377643248.54763794,0.00320681267356767,117762802816.76047,0.0,ghg,117762802816.76036,mass unit CO2-eq
SE,Dairy products,CH,106526538900.61465,0.9704196168072963,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,SE,2454336187.6677227,0.02235814668657229,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,DE,121681012.0271413,0.0011084715816616205,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,NL,119156367.86083964,0.0010854729538105556,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,FI,94951582.44120058,0.0008649758003853123,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,NO,67272057.14644063,0.0006128249785604437,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,IT,61848199.79542469,0.0005634155297366075,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,FR,38978902.369479805,0.00035508420616434154,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
