region,kt CO2e
Sweden,317203.5147388847
Switzerland,287147.14312466787
Germany,46289.899055745795
Italy,15019.993483103583
Netherlands,14629.053833032229
Denmark,12328.866133153724
France,12070.79881780522
Ireland,9113.286480090015
Rest of Asia,7531.1873313151555
Belgium,5981.373611875258
United States,5901.134499954206
Norway,5381.8836583576685
Finland,5346.864555606367
Poland,4606.399975374163
United Kingdom,3688.9899467501054
