,PBA_Sweden_ktCO2e,CBA_Sweden_ktCO2e,Net_PBA_minus_CBA
fossil_ghg,24993.343948109818,783346.1549827802,-758352.8110346704
biogenic_ghg,427.94356396679996,8068.335201791249,-7640.391637824449
total_ghg,25421.28751207662,791414.4901845715,-765993.2026724949
