,PBA_Sweden_ktCO2e,CBA_Sweden_ktCO2e,Net_PBA_minus_CBA
fossil_ghg,26772.45191326446,792433.6798737722,-765661.2279605077
biogenic_ghg,427.94356396679996,8068.335201791249,-7640.391637824449
