region,M.EUR
Sweden,419115.01528768335
Germany,17007.507555258093
Denmark,11235.60873569484
Norway,6874.457036464838
Rest of Asia,5976.209843805733
United States,5627.420596998494
Netherlands,5468.150711878828
United Kingdom,5248.534454590465
China,4979.7379951435805
Poland,4965.339493166881
Belgium,4780.715990985643
France,4474.949696402732
Finland,3946.646549815058
Italy,3749.9207521186017
Ireland,3693.5879153520714
