,PBA_Sweden,CBA_Sweden,Net_PBA_minus_CBA
biomass,64371.5626723849,56723.59529015548,7647.967382229421
fossil,200.942608696,23881.000872849105,-23680.058264153104
metals,85279.5413940874,33525.46155128619,51754.079842801206
minerals,128672.71559708999,160749.61154396838,-32076.895946878387
recycled,0.0,0.0,0.0
