source_region,source_sector,destination_country,destination_value,destination_share,model_total,residual_to_model_total,indicator,source_sector_value,unit
SE,Health and social work services (85),SE,52813.37861168634,0.9902357263715752,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WL,77.00771725370657,0.001443872648095788,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WF,49.18813009626005,0.0009222633547620021,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),GB,42.877173046558056,0.0008039347171612892,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),US,26.194400981536937,0.0004911375178917436,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),CN,23.705762242753494,0.0004444762541370638,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WM,23.40698705021934,0.0004388743048284202,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),NO,20.278325962742365,0.0003802128052999143,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),DE,18.761149362875255,0.00035176617848117623,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),FR,17.722371623801852,0.0003322893933174571,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),OTHER,221.6271954796248,0.004155446454450073,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Other business services (74),SE,25828.078513146495,0.5465354012145204,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),US,2449.005082660635,0.05182220484373429,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),FR,1951.1422152772993,0.04128717097210253,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),CN,1599.2035666793029,0.033839968485998205,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),DE,1312.6420392169118,0.027776179447081273,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),NO,1121.6446166909352,0.02373457593027142,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),GB,1094.176434563028,0.023153335094555822,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),WA,865.0935029069706,0.018305822651835234,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),DK,792.0526211263979,0.01676024009490253,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),CH,724.6688578422819,0.015334365069662717,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Other business services (74),OTHER,9520.125172901702,0.2014507361953355,47257.832623011964,0.0,economic_importance,47257.832623004484,M.EUR
SE,Construction work (45),SE,33309.904707234586,0.9535179110794892,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),DE,147.9711053822418,0.004235770127362572,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),NO,141.51618887551356,0.004050993900658109,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),CN,126.88943894245978,0.0036322935721933933,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),US,111.42968103739304,0.0031897478431378488,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),GB,88.04267599167025,0.002520279455473571,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
SE,Construction work (45),BR,81.11200318926822,0.0023218843921731795,34933.69586474158,0.0,economic_importance,34933.695864725545,M.EUR
