target_region,target_sector,source_country,source_value,source_share,model_total,residual_to_model_total,indicator,target_sector_value,unit
SE,Health and social work services (85),SE,57209.10335876663,0.9465266576641665,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WA,387.23779133846017,0.006406863083629854,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),DE,338.3269854805915,0.005597632054400392,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),GB,311.7245460021857,0.005157493743416881,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),US,255.24883801928974,0.004223101138431637,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),DK,200.12897554927932,0.003311141045866182,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),FR,140.72348143758146,0.0023282750247748504,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),CN,134.76991832596067,0.0022297731105271144,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),NO,125.37577806271887,0.002074346724463469,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),NL,121.58098668029307,0.002011561765552033,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),OTHER,1216.8698215569966,0.020133154644770966,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Construction work (45),SE,47601.78924987032,0.8249781616656433,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),DE,1244.0732934629143,0.021560813465034898,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),DK,793.0984143129944,0.0137450478683772,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),NO,649.4725010465423,0.011255892654648979,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),US,601.9810298955691,0.01043282639637732,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),WA,595.4324203192107,0.010319333605982159,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),GB,505.95948884368863,0.008768694109217583,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),CN,473.774637000783,0.008210904153729435,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),FI,467.3403923254811,0.008099393401138303,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),FR,423.3466744168025,0.007336946083567411,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Construction work (45),OTHER,4344.397760692387,0.07529198659628339,57700.665862186695,0.0,economic_importance,57700.66586218674,M.EUR
SE,Real estate services (70),SE,36410.80917736003,0.7967021105209946,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),DE,920.8471193791524,0.020148984877071105,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),US,838.5934175618152,0.018349197964431317,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),GB,776.4501015850282,0.016989444855064442,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),WA,659.4098688084673,0.01442849653846031,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),DK,584.9309537290819,0.012798829135464061,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),NO,425.5295094202707,0.009310978412830588,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),IE,406.78587154579867,0.00890085031650917,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),FR,402.60855161008624,0.008809446700816584,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),CN,364.3878549371739,0.007973142581439146,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Real estate services (70),OTHER,3911.5588612687716,0.0855885180969186,45701.91128720568,0.0,economic_importance,45701.911287205665,M.EUR
SE,Education services (80),SE,29527.029365108538,0.9451263509321988,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),WA,234.70870903395286,0.007512756632517802,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),GB,151.87809414981922,0.004861443633065859,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),DE,144.29295218946436,0.004618651936900032,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),DK,123.1063830680387,0.003940494154249273,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),US,108.22841084156919,0.003464267324052465,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
SE,Education services (80),NO,75.17908215991334,0.002406396211065971,31241.356603786768,0.0,economic_importance,31241.35660378682,M.EUR
