source_region,source_sector,destination_country,destination_value,destination_share,model_total,residual_to_model_total,indicator,source_sector_value,unit
SE,Health and social work services (85),SE,52813.37861168634,0.9902357263715752,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WL,77.00771725370657,0.001443872648095788,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WF,49.18813009626005,0.0009222633547620021,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),GB,42.877173046558056,0.0008039347171612892,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),US,26.194400981536937,0.0004911375178917436,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),CN,23.705762242753494,0.0004444762541370638,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WM,23.40698705021934,0.0004388743048284202,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),NO,20.278325962742365,0.0003802128052999143,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),DE,18.761149362875255,0.00035176617848117623,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),FR,17.722371623801852,0.0003322893933174571,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WA,17.689312494243968,0.00033166954410440713,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),DK,15.194113441339061,0.00028488527633843203,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),ES,10.522829643175882,0.00019730004269957646,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),IE,10.33901415115992,0.00019385355485805635,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),FI,9.315232296822357,0.0001746579382392084,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),IT,8.709106455315565,0.00016329325226919835,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),RU,8.227175825931502,0.00015425719096439784,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),CA,8.182567871555133,0.000153420804592895,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),JP,8.166400857567778,0.0001531176777098994,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),PL,7.79018634792378,0.00014606376337944192,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),IN,7.673914309466877,0.00014388369595174288,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),BE,7.470727163303178,0.00014007399514183756,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),KR,6.844541532805804,0.00012833319387217966,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),BR,6.832983353764973,0.00012811648132473628,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),NL,6.579286518226712,0.00012335973830201644,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),WE,6.40906141293773,0.0001201680663201521,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),CH,6.283016877857994,0.00011780476737903435,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),TW,6.151536886304977,0.00011533955518543268,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
SE,Health and social work services (85),TR,5.88163482164,0.00011027896875679674,53334.147824786414,0.0,economic_importance,53334.147824740234,M.EUR
