target_region,target_sector,source_country,source_value,source_share,account,indicator,target_sector_value,unit
SE,"Motor vehicles, trailers and semi-trailers (34)",BG,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",BR,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",CA,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",CH,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",CN,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",CY,0.0,,CBA,materials,3980706938.7935724,
SE,"Motor vehicles, trailers and semi-trailers (34)",CZ,0.0,,CBA,materials,3980706938.7935724,
SE,Real estate services (70),AT,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),AU,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),BE,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),BG,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),BR,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),CA,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),CH,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),CN,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),CY,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,Real estate services (70),CZ,641037363137.667,0.02040816326530612,CBA,materials,3205186815.7286606,
SE,"Fabricated metal products, except machinery and equipment (28)",AT,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",AU,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",BE,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",BG,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",BR,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",CA,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",CH,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",CN,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",CY,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,"Fabricated metal products, except machinery and equipment (28)",CZ,61491042600.39387,0.02040816326530612,CBA,materials,3035187242.3083873,
SE,Construction work (45),AT,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),AU,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),BE,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),BG,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),BR,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),CA,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),CH,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),CN,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
