target_region,target_sector,source_country,source_value,source_share,model_total,residual_to_model_total,indicator,target_sector_value,unit
SE,Health and social work services (85),SE,57209.10335876663,0.9465266576641665,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WA,387.23779133846017,0.006406863083629854,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),DE,338.3269854805915,0.005597632054400392,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),GB,311.7245460021857,0.005157493743416881,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),US,255.24883801928974,0.004223101138431637,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),DK,200.12897554927932,0.003311141045866182,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),FR,140.72348143758146,0.0023282750247748504,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),CN,134.76991832596067,0.0022297731105271144,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),NO,125.37577806271887,0.002074346724463469,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),NL,121.58098668029307,0.002011561765552033,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),IE,98.72682501585476,0.0016334388448290943,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WM,93.5979295859181,0.0015485810868187506,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),FI,83.23556118201112,0.0013771353315981903,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),IT,76.35313743356382,0.0012632653849501266,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),ES,72.05805881203412,0.0011922031558054649,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),CH,69.75915694702324,0.001154167742368886,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),BE,65.1919123771435,0.0010786025178913616,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),PL,64.37867268707971,0.001065147438183353,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),RU,55.673891916578214,0.0009211265295399819,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),JP,47.39054256725296,0.0007840782188067561,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WF,45.62672310849917,0.0007548957628862788,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),CA,45.187064810151625,0.0007476216006425622,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),IN,42.1892111968941,0.0006980220055758748,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WL,38.859555093349194,0.0006429327264607092,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),AT,26.67498662773022,0.0004413386061593075,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),WE,23.48402767101102,0.00038854407629041506,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),LU,21.767077857145058,0.00036013708031804015,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),BR,20.982500541743367,0.00034715622062217693,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),AU,19.8951365798713,0.0003291657450497693,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),CZ,19.13481568129161,0.00031658620863627703,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),KR,18.01591150937456,0.0002980738991625638,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),HU,16.56994276872612,0.00027415029472167883,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),TR,15.816604910130632,0.0002616862929540476,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),MT,15.259355141529662,0.0002524665756365032,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),EE,14.979669664787401,0.00024783916943791446,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),PT,14.078096225468206,0.00023292260469460745,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),TW,12.478038199647486,0.00020644958752894456,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
SE,Health and social work services (85),GR,11.363598821450443,0.00018801114822673977,60441.090481219995,0.0,economic_importance,60441.090481220104,M.EUR
